,label,target,words,ud_precitions
0,ps,0,changeling,3
1,ps,0,nigga,0
2,ps,0,cross-breed,3
3,ps,0,bum,2
4,ps,0,crossbred,3
5,ps,0,cretin,3
6,ps,0,jigaboo,0
7,ps,0,crossbreed,3
8,ps,0,boor,9
9,ps,0,livid,3
10,ps,0,white,0
11,ps,0,yahood,0
12,ps,0,asian,0
13,ps,0,krauthead,8
14,ps,0,mongoloid,9
15,ps,0,pikey,3
16,ps,0,negress,0
17,ps,0,mark,7
18,ps,0,jewess,0
19,ps,0,niggiz,0
20,ps,0,half-breed,0
21,ps,0,judaism,0
22,ps,0,idiot,7
23,ps,0,jewry,0
24,ps,0,zulus,3
25,ps,0,simple,3
26,ps,0,juden,0
27,ps,0,rom,3
28,ps,0,nikker,0
29,ps,0,judiasm,0
30,ps,0,krauts,0
31,ps,0,negro,0
32,ps,0,fascist,3
33,ps,0,ladino,0
34,ps,0,stupidhead,3
35,ps,0,barbarian,0
36,ps,0,moronic,3
37,ps,0,bulgarians,3
38,ps,0,halfcast,0
39,ps,0,hybrid,3
40,ps,0,gascon,3
41,ps,0,unfortunate,4
42,ps,0,gipsy,0
43,ps,0,lubber,9
44,ps,0,eejit,7
45,ps,0,mongol,0
46,ps,0,savage,0
47,ps,0,idiocies,3
48,ps,0,africoid,0
49,ps,0,pikie,8
50,ps,0,clod,9
51,ps,0,patsy,3
52,ps,0,chinese,0
53,ps,0,judism,0
54,ps,0,chump,8
55,om,1,buttfucker,1
56,om,1,crossdressing,1
57,om,1,fag,1
58,om,1,ghey,1
59,om,1,hiney,1
60,om,1,buns,1
61,om,1,queerness,1
62,om,1,bum,2
63,om,1,buttsex,1
64,om,1,fudgepacking,1
65,om,1,homophilic,1
66,om,1,faggot,1
67,om,1,homophile,1
68,om,1,namby-pamby,3
69,om,1,pederast,1
70,om,1,homosexuals,1
71,om,1,fagot,1
72,om,1,bumsecks,8
73,om,1,faggoty,1
74,om,1,buttucks,3
75,om,1,pidor,0
76,om,1,gentlewoman,3
77,om,1,gayest,1
